Sex	Height	training_week
Male	67	1
Female	54	3
Female	65	2
Female	52	2
Female	72	2
Male	70	1
Male	70	3
Male	68	2
Male	72	3
Female	52	2
Female	64	3
Female	65	3
Female	65	3
Female	67	3
Female	62	1
Male	70	3
Male	68	1
Female	68	1
Male	65	3
Female	68	1
Male	65	1
Male	73	2
Female	65	3
Male	72	3
Female	63	1
Female	63	2
Male	68	1
Male	73	2
Male	69	2
Female	54	2
Female	70	2
Male	62	2
Female	64	3
Male	70	3
Female	65	2
Male	72	2
Female	63	1
Female	67	2
Female	64	3
Female	68	1
Male	75	1
Male	68	2
Female	63	3
Female	61	3
Male	68	3
Female	65	1
Male	74	1
Male	74	3
Male	70	3
Male	68	1
Female	65	1
Female	69	1
Male	75	2
Male	73	3
Female	68	3
Male	69	3
Female	53	1
Female	67	3
Male	72	3
Female	56	2
Male	69	1
Male	72	3
Female	66	1
Male	72	1
Female	63	2
Female	69	3
Female	67	1
Female	68	1
Female	68	2
Male	68	1
Male	70	1
Female	64	3
Female	64	2
Female	64	2
Female	63	1
Female	62	3
Female	66	3
Female	64	1
Male	70	3
Male	69	3
Female	68	2
Female	71	1
Female	63	1
Male	74	1
Male	72	1
Female	63	3
Male	71	3
Male	57	1
Female	60	2
Male	64	1
Female	63	2
Male	68	3
Female	62	1
Female	64	1
Male	76	2
Female	67	1
Male	69	2
Male	67	1
Female	65	2
Female	64	2
Male	58	2
Female	66	3
Female	75	2
Male	71	2
Female	78	1
Male	68	1
Female	68	2
Female	64	1
Female	67	3
Female	65	1
Male	70	2
Female	65	2
Female	68	1
Female	59	3
Female	63	3
Female	68	2
Female	NA	3
Female	62	3
Male	73	1
Female	68	2
Female	63	1
Male	69	2
Female	66	3
Male	73	2
Female	59	3
Male	72	1
Female	69	1
Female	56	3
Female	59	2
Male	72	3
Male	66	1
Male	75	1
Female	61	1
Female	66	3
Male	72	1
Female	84	1
Male	69	1
Female	72	1
Female	62	3
Male	70	1
Male	73	1
Female	65	1
Male	72	2
Female	65	3
Female	67	1
Female	64	3
Male	71	1
Female	62	1
Female	67	2
Male	73	1
Male	75	1
Male	67	2
Male	69	2
Male	69	3
Female	98	3
Male	75	2
Male	81	1
Male	70	3
Female	67	2
Female	68	2
Male	74	3
Male	68	1
Female	69	2
Female	67	1
Female	64	3
Male	74	1
Male	66	3
Female	67	2
Male	71	2
Male	72	3
Female	62	3
Male	70	2
Male	70	1
Female	68	3
Male	71	2
Male	68	3
Female	71	3
Male	78	3
Female	62	3
Male	73	3
Female	67	2
Female	68	3
Female	66	1
Male	73	2
Male	72	1
Female	66	1
Female	61	2
Female	66	3
Female	68	1
Female	106	1
Female	58	2
Female	73	2
Female	64	2
Male	71	2
Male	68	1
Female	64	1
Female	63	2
Female	67	1
Female	68	1
Male	68	1
Female	67	2
Female	62	3
Female	67	2
Female	65	2
Female	65	2
Male	69	3
Female	63	3
Female	72	1
Male	72	1
Male	70	1
Male	72	2
Male	75	2
Male	72	3
Female	64	1
Female	65	3
Female	65	2
Male	71	1
Female	62	1
Female	60	1
Male	69	2
Male	69	1
Male	67	1
Male	71	2
Male	60	3
Female	75	1
Male	69	3
