				Healthy						Sick					
Accession	Description	Pvalue	Padj	S6/Ref	S7/Ref	S9/Ref	S16/Ref	S89/Ref	S90/Ref	S10/Ref	S13/Ref	S20/Ref	S54/Ref	S58/Ref	S81/Ref
P14543	Nidogen-1 OS=Homo sapiens GN=NID1 PE=1 SV=3	0.067	0.143	1.963	3.236	1.022	0.682	1.823	0.884	0.852	0.721	1.388	0.831	0.591	0.500
P08572	Collagen alpha-2(IV) chain OS=Homo sapiens GN=COL4A2 PE=1 SV=4	0.095	0.185	0.269	0.204	0.694	0.441	0.619	0.470	4.161	0.645	0.577	0.544	0.558	0.744
P36222	Chitinase-3-like protein 1 OS=Homo sapiens GN=CHI3L1 PE=1 SV=2	0.510	0.632	1.233	0.379	1.270	0.537	1.017	0.728	0.548	0.972	2.959	0.744	0.642	1.154
P02741	C-reactive protein OS=Homo sapiens GN=CRP PE=1 SV=1	0.051	0.118	0.823	1.229	0.552	0.779	1.112	0.924	0.563	0.566	0.712	0.913	0.441	0.633
O60664	Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=3	0.318	0.449	0.471	0.326	0.447	0.634	0.936	0.743	0.330	0.475	0.723	1.792	1.310	0.764
P07858	Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3	0.167	0.284	1.359	1.194	1.097	1.259	0.971	0.999	0.430	1.161	1.109	1.005	1.025	0.846
Q5JRA6	Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1	0.005	0.023	1.293	1.384	1.498	1.582	1.497	1.207	0.680	0.980	0.653	1.175	0.893	1.131
P12109	Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3	0.053	0.120	1.487	1.446	1.210	0.904	0.872	1.184	0.617	0.973	0.483	1.155	1.062	0.713
P01033	Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1	0.021	0.062	0.769	0.447	0.819	0.523	0.922	0.564	0.452	0.493	0.646	0.244	0.313	0.303
