Accession	Gene	Description	Control_1	Control_2	Control_3	Hypoxia_1	Hypoxia_2	Hypoxia_3	Log2FC	Pvalue
Q09666	AHNK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2 - [AHNK_HUMAN]	1.03281363320654	0.996904917331802	0.96615669868944	0.907599125288884	0.868735196681312	0.879647787115612	-0.173441153593873	0.00942205433358567
Q15149	PLEC	Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3 - [PLEC_HUMAN]	0.968288217495029	1.01341080354032	1.01366135991389	1.20657720218909	1.19551808560058	1.18989061188453	0.262360604426709	0.00448120868307123
P21333	FLNA	Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4 - [FLNA_HUMAN]	0.986323046608129	1.0202331567176	0.984327031780812	0.963143989708659	0.92538540992058	0.913071149943872	-0.0944972708832396	0.0341207502996344
O75369	FLNB	Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2 - [FLNB_HUMAN]	1.00250695856722	1.01410237060541	0.986885993631902	1.24948486965883	1.1944714435459	1.15963546639763	0.262202091381653	0.0077627735134339
P78527	PRKDC	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3 - [PRKDC_HUMAN]	0.941568944651165	1.04117244654639	1.01390320457223	0.940854181905252	0.893792572069825	0.912936357045136	-0.12420880103519	0.0850298484897353
P07900	HS90A	Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5 - [HS90A_HUMAN]	0.997702299352649	1.01873546201005	0.98346495788709	0.991857143287939	0.920734217267825	0.877193268283495	-0.106459588689262	0.167316618113488
P08238	HS90B	Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4 - [HS90B_HUMAN]	0.975144699297881	1.02278790732975	0.99070372873798	0.964290956773085	0.924557025008686	0.889665539250804	-0.105670401017913	0.0670799610006831
P31327	CPSM	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens GN=CPS1 PE=1 SV=2 - [CPSM_HUMAN]	1.0171256433814	1.00555356544623	0.96566607493273	0.917184128860054	0.894010954967782	0.877481084387291	-0.152332165643709	0.00727602975837801
P35579	MYH9	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN]	0.971217872522762	1.01765265445928	1.01059014002736	0.9574347241151	0.929670096213728	0.91044813431295	-0.100541526514412	0.0277373056070603
Q13813	SPTN1	Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3 - [SPTN1_HUMAN]	0.993254118223474	1.00637543418473	0.995165385864074	1.05881833493344	1.01286029222561	1.00474075441806	0.0384339926546038	0.239985665085211
P49327	FAS	Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3 - [FAS_HUMAN]	0.979383426393377	1.02613203943056	0.986661483700615	0.95479936687724	0.941716548669807	0.918369615200519	-0.088002683554151	0.032040441054908
P02545	LMNA	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1 - [LMNA_HUMAN]	1.00494487431246	1.00679329842089	0.98107175071596	0.919014508677516	0.889448584343415	0.859865451759538	-0.16599631536502	0.0151444788493131
P60709	ACTB	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]	1.02588974808434	0.993405200764345	0.961554315862026	1.1397607705673	1.12706302323344	1.08456746432066	0.169216290830053	0.00908601132901028
Q14204	DYHC1	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5 - [DYHC1_HUMAN]	0.979479052878421	1.00537883747669	1.00760524948219	0.98055445269618	0.934348649084024	0.939631881794177	-0.0682953993156301	0.0693117531983381
P10809	CH60	60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2 - [CH60_HUMAN]	1.09025817623454	0.98500959288877	0.930886811257957	1.00921363326939	1.06739618134979	1.01618855942042	0.0436461100810065	0.590727594747914
P14618	KPYM	Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN]	1.04303014106268	0.998428691582847	0.955774376875539	0.938841047575201	0.947082051338677	0.897195791490114	-0.106415078194465	0.0810981343776539
Q04695	K1C17	Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2 - [K1C17_HUMAN]	1.00070236705058	1.0020753075772	0.981694806000265	0.831817266885813	0.813109723458347	0.803582987342509	-0.285656983458949	0.00021741329959278
P11142	HSP7C	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1 - [HSP7C_HUMAN]	1.05244273309752	0.981868932426919	0.950392363364155	0.911275392784724	0.964473554226971	0.89120152811959	-0.108781009954148	0.123607875537913
